여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_004789,새만금유람선,체험,기타레저,전북,전라북도 군산시 옥도면 선유도3길 52-4,126.4161796,35.82358129
TRAVEL_004790,새별오름,관광지,기타관광지,제주,제주특별자치도 제주시 애월읍 봉성리 4554-12,126.360805,33.363006
TRAVEL_004791,새섬 새연교,관광지,기타관광지,제주,제주특별자치도 서귀포시 남성중로 40(서홍동),126.5591482,33.2381876
TRAVEL_004792,새연교 콘서트,관광지,축제/행사,제주,제주특별자치도 서귀포시 남성중로 40(서홍동),126.5584621,33.23919303
TRAVEL_004793,새천년해안도로,관광지,기타관광지,강원,강원도 삼척시 새천년도로 61-18(정하동),129.188028,37.43928542
TRAVEL_004794,샛별해수욕장,체험,기타레저,충남,충청남도 태안군 안면읍 샛별길 184-2,126.3360041,36.44860558
TRAVEL_004795,생생왕꽃게,음식점,기타,충남,충청남도 태안군 남면 천수만로 374,126.349765,36.62185255
TRAVEL_004796,샤르망호텔 [한국관광 품질인증/Korea Quality],숙박,호텔,전남,전라남도 목포시 신흥로59번길 5(상동),126.4265928,34.80426089
TRAVEL_004797,샤이니호텔,숙박,호텔,제주,제주특별자치도 제주시 구좌읍 송당4길 7,126.7842817,33.47060442
TRAVEL_004798,샵모텔,숙박,여관/모텔,전남,전라남도 여수시 시청동2길 22-1,127.6638185,34.75902014
TRAVEL_004799,샹그리아비치호텔,숙박,호텔,전남,전라남도 목포시 평화로 79,126.433409,34.79713958
TRAVEL_004800,서건도,관광지,섬,제주,제주특별자치도 서귀포시 강정동 산 1,126.498492,33.230079
TRAVEL_004801,서귀포 김정희 유배지,관광지,문화유적,제주,제주특별자치도 서귀포시 대정읍 추사로 44일원,126.2783334,33.24996521
TRAVEL_004802,서귀포 야해페스티벌 2019,삭제,축제/행사,제주,제주특별자치도 서귀포시 표선면 민속해안로 592,126.8425244,33.3258519
TRAVEL_004803,서머셋 제주신화월드,숙박,리조트/콘도,제주,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,126.3163622,33.30500139
TRAVEL_004804,서산 경주김씨 고택,관광지,문화유적,충남,충청남도 서산시 음암면 한다리길 45(음암면),126.5193409,36.7411556
TRAVEL_004805,서산 용현리 마애여래삼존상,관광지,문화유적,충남,충청남도 서산시 운산면 마애삼존불길 65-13,126.6051934,36.7734728
TRAVEL_004806,서산 해미읍성,관광지,문화유적,충남,충청남도 서산시 해미면 남문2로 143,126.5503778,36.71354265
TRAVEL_004807,서산마애삼존불부터 개심사까지 아라메길을 걷다,관광지,기타관광지,충남,충청남도 서산시 운산면 마애삼존불길 65-13 (서산마애삼존불상관리사무소),126.605218,36.773441
TRAVEL_004808,서산버드랜드,관광지,전시관,충남,충청남도 서산시 부석면 천수만로 655-73(부석면),126.3777623,36.62922718
TRAVEL_004809,서산창작예술촌,관광지,전시관,충남,충청남도 서산시 지곡면 중왕1길 87-5,126.3869966,36.87411297
TRAVEL_004810,서산해미읍성회화나무,관광지,기타관광지,충남,충청남도 서산시 해미면 동문1길 36-1(해미면),126.5488418,36.71290103
TRAVEL_004811,서산호텔 [한국관광 품질인증·Korea Quality],숙박,호텔,충남,충청남도 서산시 관아문길 34(읍내동),126.451896,36.78133591
TRAVEL_004812,서울마리나 요트&클럽,체험,기타레저,서울,서울특별시 영등포구 여의서로 160(여의도동),126.9117836,37.53467064
TRAVEL_004813,서지초가뜰,음식점,기타,강원,강원도 강릉시 난곡길76번길 43-9,128.8810364,37.79134435
TRAVEL_004814,서천 갯벌 매력에 '푸~욱',관광지,체험프로그램,충남,충남 서천군 장항읍 장산로101번길 75,126.6653744,36.0223406
TRAVEL_004815,서천 마량리 동백나무 숲,관광지,기타관광지,충남,충청남도 서천군 서면 서인로235번길 103,126.4935202,36.13790501
TRAVEL_004816,서천 마량포 해넘이 해돋이,관광지,기타관광지,충남,충청남도 서천군 서면 서인로 56(마량리),126.5010474,36.13248632
